ID,Title,Company,Location,Date Posted
consultant,Consultant - Program Engagements Consultant - Nigeria,Mercy Corps,Abuja,PostedPosted 30+ days ago
consultant,"Management Consultant (MC), Digital Technology",Phillips Consulting NG,Lagos,PostedPosted 5 days ago
consultant,Lead Consultant - Orphans and Vulnerable Children (OVC) Activity Design,Navanti Group,Abuja,PostedPosted 30+ days ago
consultant,People Transformation Senior Management Consultant,Phillips Consulting NG,Lagos,PostedPosted 10 days ago
consultant,IT Consultant,CAVIDEL LIMITED,Lagos,PostedPosted 30+ days ago
consultant,IT-Consultant (w/m/d) 80-100%,p3b ag,Imo,PostedPosted 30+ days ago
consultant,Travel Consultant,Bon Voyage Travel,Lagos,PostedPosted 30+ days ago
consultant,Call for Local and International Health Consultants,Palladium,Nigeria,PostedPosted 30+ days ago
consultant,Programme Management Consultant,Simpletin Consulting,Abuja,PostedPosted 30+ days ago
consultant,Senior Research and Development Consultant,Jobberman (Third Party Recruitment),Edo,PostedPosted 30+ days ago
consultant,Public Sector Consultant,Recruitment Room,Lagos,PostedPosted 23 days ago
consultant,Sales Consultant Circular Economy (m/w/d),Ingram Micro,Imo,PostedPosted 30+ days ago
consultant,Programme Management Consultant,Simpletin Consulting,Abuja,PostedPosted 30+ days ago
consultant,Sales Consultant,ODTC HOMES AND APARTMENTS,Ibadan,PostedPosted 30+ days ago
consultant,Senior Research and Development Consultant,Jobberman (Third Party Recruitment),Edo,PostedPosted 30+ days ago
consultant,Accounts Officer/ Consultant,Office Online Nigeria Limited,Lagos,PostedPosted 30+ days ago
consultant,Insurance Sales Consultant,Mango 5,Zamfara,PostedPosted 30+ days ago
consultant,"Part time HR Consultants (Lagos, Port Harcourt, Abuja)",SENCE,Lagos,PostedPosted 30+ days ago
consultant,SOX Compliance Consultant (EU-TZ),OnePyramid Consulting Ltd,Nigeria,PostedPosted 4 days ago
consultant,Solution Implementation Lead Consultant - Digital,Phillips Consulting NG,Lagos,PostedPosted 30+ days ago
consultant,Sales Consultant | WC Western Coast,Smollan Activation,Zamfara,PostedPosted 30+ days ago
consultant,School Public Relations Consultant,STARFIELD Education Empowerment Foundation,Lagos,PostedPosted 30+ days ago
consultant,External Consultant - Private Sector Engagement within the Health Sector in Nigeria,RTI International,Abuja,PostedPosted 17 days ago
consultant,Ongoing Recruitment at Myrtle Management Consultants,Myrtle Management Consultants,Lagos,PostedPosted 10 days ago
consultant,Gynaecologist/Consultant Family Physician,Jobberman (Third Party Recruitment),Abuja,PostedPosted 17 days ago
consultant,Consultant - Obstetrics and Gynracology,Deda hospital,Abuja,PostedPosted 1 day ago
consultant,Experienced Audit Consultant,Kreston Pedabo,Lagos,PostedPosted 4 days ago
consultant,Senior Consultant Strategy,Jobberman (Third Party Recruitment),Lagos,PostedPosted 30+ days ago
consultant,Database Consultant,TUA,Lagos,PostedPosted 30+ days ago
consultant,Sales Consultant,EOSN,Lagos,PostedPosted 30+ days ago
consultant,Request for Proposal: Consultant to Conduct Feasibility Study on Food Security and Resilience Strengthening,IHV Nigeria,Abuja,PostedPosted 30+ days ago
consultant,Credit Life Sales Consultant,Old Mutual,Lagos,PostedPosted 1 day ago
consultant,Coordinating Consultant/Lead Consultancy and Innovation at CSR-in-Action,CSR-in-Action,Lekki,PostedPosted 30+ days ago
consultant,PS Consultant,NCR Atleos,Abeokuta,PostedPosted 30+ days ago
consultant,Associate Consultant,CSR-in-Action,Lekki,PostedPosted 30+ days ago
consultant,Senior Database Consultant,TUA,Lagos,PostedPosted 30+ days ago
consultant,Associate Database Consultant,TUA,Lagos,PostedPosted 30+ days ago
consultant,"Senior SAP Consultant, SF/EC",Dangote Industries Limited,Lagos,PostedPosted 16 days ago
consultant,SOX Compliance Consultant (APAC-TZ),OnePyramid Consulting Ltd,Nigeria,PostedPosted 4 days ago
consultant,Senior Technical Consultant,ROVEDANA LIMITED,Lagos,EmployerActive 4 days ago
consultant,Consultant,Systemtech Groups,Lagos,EmployerActive 5 days ago
consultant,Travel Consultant,Incel Tourism Limited,Lagos,EmployerActive 4 days ago
consultant,Educational Consultant,Fidelity Bond Group,Lagos,EmployerActive 3 days ago
consultant,Strategy / Business Consultant,VanB Estates,Lagos,EmployerActive 14 days ago
consultant,REAL ESTATE CONSULTANT,Frontier commercial services limited,Ikeja,EmployerActive 11 days ago
consultant,EXPERIENCED TRAVEL CONSULTANT,ATS TRAVEL NIG LTD,Ikeja,PostedPosted 14 days ago
consultant,Corporate Wellness Consultant,ODG Wellness Home,Lekki,EmployerActive 2 days ago
consultant,Business Consultant,Datagridx Telecoms,Lagos,EmployerActive 8 days ago
consultant,Tours Consultant,Bon Voyage Travel Agency,Lagos,PostedPosted 30+ days ago
consultant,Real Estate Consultants and Trainees,REDOC HOMES,Lagos,EmployerActive 11 days ago
consultant,Country Project Manager & Consultant (Deal Makers/Negotiation),Salesplat,Lagos,EmployerActive 5 days ago
consultant,CALL FOR CONSULTANT,YOUTH ALIVE FOUNDATION,Calabar,EmployerActive 7 days ago
consultant,Leisure Travel Consultant,Bon Voyage Travel Agency,Lagos,PostedPosted 30+ days ago
consultant,Consultant,Perctrea Pinnacle Limited,Lagos,EmployerActive 6 days ago
consultant,Dynamics 365 CRM Consultant,INFINION TECHNOLOGIES LIMITED,Lagos,PostedPosted 30+ days ago
consultant,Real Estate consultant,Brit properties Nigeria limited,Enugu,PostedPosted 1 day ago
consultant,Senior Implementation Consultant,Visa,Lagos,PostedPosted 30+ days ago
consultant,Sales Consultant/Executives (In-store luxury),West Africa Vocational Education (WAVE),Lagos,EmployerActive 3 days ago
consultant,TAX CONSULTANT,Fosad Consulting,Lagos,PostedPosted 30+ days ago
consultant,Paediatrics Consultant,Lifeline,Lagos,EmployerActive 4 days ago
consultant,Associate HR Consultant,Amy Consulting,Lagos,EmployerActive 2 days ago
consultant,"Country Commercials, Consultant & BD Manager (Construction)",Salesplat,Lagos,EmployerActive 5 days ago
consultant,Experienced Tax Consultant,Pedabo Professional Services,Lagos,PostedPosted 30+ days ago
consultant,Real Estate Consultant,Asset Rise,Lagos,EmployerActive 2 days ago
consultant,Program Consultant - Multiple Micronutrient Supplementation,Evidence Action,Ibadan,EmployerActive 4 days ago
consultant,Events Consultant,Bon Voyage Travel Agency,Lagos,PostedPosted 30+ days ago
consultant,TRAVEL CONSULTANT (SALES EXECUTIVE),INCEL TOURISM LIMITED,Lagos,PostedPosted 10 days ago
consultant,Merchant Solutions Sales and Service Consultant - Johannesburg,Bidvest Bank,Zamfara,PostedPosted 4 days ago
consultant,Technology Consultant,Procept Associates Professional Services Limited,Lagos,PostedPosted 30+ days ago
consultant,HR Consultant (Organization Design),StreSERT Services Limited (Third Party...,Lagos,EmployerActive 25 days ago
consultant,"Management Consultant (MC), Digital Technology",Phillips Consulting,Lagos,PostedPosted 5 days ago
consultant,Business Travel Consultant,Bon Voyage Travel Agency,Lagos,PostedPosted 30+ days ago
consultant,ORGANISATION AND DEVELOPMENT CONSULTANT,Bellforte Consulting,Lagos,PostedPosted 30+ days ago
consultant,"REAL ESTATE CONSULTANT, SALES EXECUTIVE, MARKETING ANALYST",Frontier commercial services limited,Ikeja,EmployerActive 11 days ago
consultant,Sales Associate (Client Prospect & Consultant Partnership Specialist),Spazio Ideale,Lagos,EmployerActive 14 days ago
consultant,Enterprise Sales Consultant - Lagos and Port Harcourt,Ekovolt,Lagos,PostedPosted 30+ days ago
consultant,People Transformation Senior Management Consultant,Phillips Consulting,Lagos,PostedPosted 10 days ago
consultant,Consultant- Manager for HR Workday Implementation and Change Management,Deloitte,Lagos,PostedPosted 30+ days ago
consultant,Microsoft Dynamics 365 Business Central Senior Consultant,ITC WORLDWIDE,Lagos,PostedPosted 30+ days ago
consultant,Experienced Audit Consultant,Pedabo Professional Services,Lagos,PostedPosted 30+ days ago
consultant,Realtor Consultants /Trainees,REAL ESTATE DR'S ENTERPRISE(REDOC HOMES),Lagos,PostedPosted 30+ days ago
consultant,Microsoft Business Applications Sales Consultant,ITC WORLDWIDE,Lagos,PostedPosted 30+ days ago
