ID,Title,Company,Location,Date Posted
engineer,Quality Engineer,Phillips-Medisize,Sokoto,PostedPosted 20 days ago
engineer,Electrical and Electronics Engineer,Hephzibah Integrated Technologies Ltd,Abuja,PostedPosted 25 days ago
engineer,Electrical Engineer,Romax properties Limited,Lagos,PostedPosted 11 days ago
engineer,"Associate Engineer, Test Manufacturing",Celestica,Lagos,PostedPosted 14 days ago
engineer,PHP Software Engineer - Jumia (Full Time),Jumia,Nigeria,PostedPosted 30+ days ago
engineer,Software Backend Engineer,ING,Lagos,PostedPosted 30+ days ago
engineer,"MECHANICAL SUPERVISOR, CONTROL ENGINEER",Shiyali Hr Services,Nigeria,PostedPosted 30+ days ago
engineer,Site Engineer,Africonsult Architects Engineers Limited,Abuja,PostedPosted 20 days ago
engineer,Cost Engineer,Amaiden Energy Nigeria Limited,Rivers,PostedPosted 9 days ago
engineer,Information Technology Engineer,Cirrus Energy,Lagos,PostedPosted 30+ days ago
engineer,Sr Manufacturing Engineer Coyol,Boston Scientific Corporation,Cross River,PostedPosted 2 days ago
engineer,Full stack Engineer,STRAACOS,Lagos,PostedPosted 18 days ago
engineer,Process Engineer,Renolit,Lagos,PostedPosted 30+ days ago
engineer,Well Engineering,Havilah Energy,Nigeria,PostedPosted 30+ days ago
engineer,Civil Engineer,APTEC Engineers Technical Services (AETS),Nigeria,PostedPosted 30+ days ago
engineer,Electrical Engineer Level I,Worley,Abeokuta,PostedPosted 30+ days ago
engineer,Reliability Engineer,Renolit,Lagos,PostedPosted 30+ days ago
engineer,Field Engineer,Speedcast,Nigeria,PostedPosted 30+ days ago
engineer,"Engineer, Materials",Aurecon Group,Plateau,PostedPosted 30+ days ago
engineer,"UPS Field Engineer, Nigeria",Vertiv Group Corp,Lagos,PostedPosted 30+ days ago
engineer,Head Electrical Engineer H/F,SPIE,Nigeria,PostedPosted 17 days ago
engineer,Mechanical Maintenance Engineer,Alfred James Holdings Limited,Lagos,PostedPosted 18 days ago
engineer,"Technical Support Engineer, Port- Harcourt",Main One,Lagos,PostedPosted 4 days ago
engineer,Software Engineer (Intern),Wise Soft Lab,Nigeria,PostedPosted 30+ days ago
engineer,Well Engineer,Hobark International Limited,Rivers,PostedPosted 13 days ago
engineer,6 month University Internships: Field Engineering (Nigeria) –2024 opportunities,Baker Hughes,Port Harcourt,PostedPosted 30+ days ago
engineer,Instrument & Control Engineer,APTEC Engineers Technical Services (AETS),Nigeria,PostedPosted 30+ days ago
engineer,Mechanical Engineer,UNIC GROUP LTD,Abuja,PostedPosted 24 days ago
engineer,Mid-level QA Engineer,Gloopro,Lekki,PostedPosted 30+ days ago
engineer,Petroleum Engineer,Nestoil,Lagos,PostedPosted 11 days ago
engineer,Managed Security Services Engineer,Main One,Lagos,PostedPosted 30+ days ago
engineer,Senior .NET Software Engineer,AltexSoft,Nigeria,PostedPosted 6 days ago
engineer,Manufacturing Engineer Supervisor,Boston Scientific Corporation,Cross River,PostedPosted 30+ days ago
engineer,Software Engineer,Priority Communications Ltd.,Lagos,PostedPosted 30+ days ago
engineer,Sr Quality Engineer Coyol,Boston Scientific Corporation,Cross River,PostedPosted 5 days ago
engineer,Quality Control Engineer (Insulation),Amaiden Energy Nigeria Limited,Rivers,PostedPosted 9 days ago
engineer,Senior Java Software Engineer - Jumia (Full Time),Jumia,Nigeria,PostedPosted 30+ days ago
engineer,Chief Engineer M/F,Bourbon,Nigeria,PostedPosted 30+ days ago
engineer,Engineering Project Manager,APTEC Engineers Technical Services (AETS),Nigeria,PostedPosted 30+ days ago
engineer,"Assistant Engineer, Instrumentation",Dangote Industries Limited,Nigeria,PostedPosted 30 days ago
engineer,Support Engineer,Cobranet Limited,Lagos,PostedPosted 17 days ago
